,precision,recall,f1-score,support
0,0.9915739804516347,0.9972881355932204,0.9944228494169343,5900.0
1,0.7575757575757576,0.5,0.6024096385542169,100.0
accuracy,0.989,0.989,0.989,0.989
macro avg,0.8745748690136961,0.7486440677966102,0.7984162439855755,6000.0
weighted avg,0.98767401007037,0.989,0.9878892959025557,6000.0
